Name,Age,Phone,InBlackList,PassportId
Селезнев Владислав,36,103-8889-906,False,f3c64fc0-2331-4bc0-acf5-a99c08744320
Захаров Николай,33,451-5322-233,False,be988f4f-fd85-4524-9d15-7f585d01e423
Анисимова Надежда,21,750-3631-072,False,30184b72-8974-4223-96ec-d0d1bbaf9a0d
Устинов Дмитрий,39,908-4786-758,False,e08e8388-d124-4e46-b73a-8d70aa5ddcfc
Гордеева Анжелика,19,919-2171-031,False,888d6ef5-a8c4-4666-89a3-93aa29341755
Капустина Ольга,22,780-2648-644,False,6de6b10e-9945-40f1-b6b6-32f8ac8c1a6d
Мамонтова Лариса,20,486-1888-335,False,344c15b0-af3c-4bbd-90e0-a880c76179a8
Савин Виктор,31,863-8326-385,False,268e3160-7b61-4aa9-ab05-9388f491d419
Абрамова Алевтина,40,558-1134-759,False,83982aa6-c5a4-42f3-922b-39e8f26bf0ed
Филиппов Георгий,32,892-8115-725,False,709cdea6-cce6-4fab-8821-72a023726352
